name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
santiago de chile,2017-01-20,37,18,27,34.5,18,26,7.4,31.8,0,,0,,,,29.5,33.5,144,1010.9,0,7.4,,,0,,2017-01-20T06:53:37,2017-01-20T20:53:27,0.78,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-21,34,18,25.5,33,18,25.1,11,41.73,0,,0,,,,,33.5,170.1,1011.4,0,7.3,,,0,,2017-01-21T06:54:35,2017-01-21T20:53:01,0.83,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,SCTB,85574099999"
santiago de chile,2017-01-22,30.3,17,23.4,29.4,17,23.2,11.9,49.76,0,,0,,,,,33.5,173.6,1014.3,0,8.2,,,0,,2017-01-22T06:55:34,2017-01-22T20:52:34,0.87,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-23,32,17,23.6,30.1,17,23.2,11.5,51.01,0,,0,,,,,27.7,172.6,1015,0,9.1,,,0,,2017-01-23T06:56:33,2017-01-23T20:52:06,0.91,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-24,33,16,24.9,31.4,16,24.3,9.8,42.29,0,,0,,,,,25.9,202.2,1013,0,7.7,,,0,,2017-01-24T06:57:32,2017-01-24T20:51:35,0.95,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-25,37,18,27.4,35.1,18,26.7,10.3,36.94,0,,0,,,,,27.7,197.4,1009.9,2.1,9.7,,,0,,2017-01-25T06:58:31,2017-01-25T20:51:03,0.97,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-26,33,18.8,26.1,32.6,18.8,25.8,12.9,45.53,0,,0,,,,66.6,29.5,219.2,1010.9,0,8.1,,,0,,2017-01-26T06:59:30,2017-01-26T20:50:29,0.99,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-27,33,19,25.2,33,19,25.1,15.1,56.06,0,,0,,,,,27.7,172.3,1013.1,0,9.3,,,0,,2017-01-27T07:00:29,2017-01-27T20:49:54,1,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,SCTB,85574099999"
santiago de chile,2017-01-28,31.8,19,24.6,31.3,19,24.6,14.4,55.07,0,,0,,,,,31.7,173.8,1010.6,0,8.4,,,0,,2017-01-28T07:01:29,2017-01-28T20:49:17,0,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-29,33,18,25,32.3,18,24.8,13.2,50.23,0,,0,,,,,31.7,173.7,1009.5,0,8.1,,,0,,2017-01-29T07:02:28,2017-01-29T20:48:38,0.01,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-01-30,33,17,25,31.5,17,24.5,12,48.19,0,,0,,,,,24.1,177.1,1011.7,6.4,7.3,,,0,,2017-01-30T07:03:27,2017-01-30T20:47:58,0.03,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,SCTB,85574099999"
